All Unique Contributions:
  URL: https://github.com/openedx/openedx-events/pull/1, Description: doc: Add purpose of this repo ADR, Author: morenol
  URL: https://github.com/openedx/openedx-events/pull/325, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/326, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/327, Description: [FC-0040] feat: Add `CONTENT_OBJECT_TAGS_CHANGED` signal, Author: yusuf-musleh
  URL: https://github.com/openedx/openedx-events/pull/328, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/330, Description: [IGNORE] Mjg/external contrib codecov, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/331, Description: Mjg/another uncovered test, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/332, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/333, Description: feat: Added enterprise subsidy events. OEP-49, Author: irfanuddinahmad
  URL: https://github.com/openedx/openedx-events/pull/334, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/335, Description: feat: add ora submission created event, Author: BryanttV
  URL: https://github.com/openedx/openedx-events/pull/338, Description: docs: update python classifiers in setup file, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/339, Description: build: update codecov action to latest version with repo-specific tokens, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/340, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/341, Description: refactor: update ora submission data, Author: BryanttV
  URL: https://github.com/openedx/openedx-events/pull/342, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/343, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/344, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/345, Description: docs: update docs for upcoming release, Author: mariajgrimaldi
  URL: https://github.com/openedx/openedx-events/pull/346, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/347, Description: feat: new enterprise transaction data/signals, Author: iloveagent57
  URL: https://github.com/openedx/openedx-events/pull/349, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/350, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/351, Description: Python Requirements Update, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/352, Description: chore: Upgrade Python requirements, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/353, Description: chore: Upgrade Python requirements, Author: edx-requirements-bot
  URL: https://github.com/openedx/openedx-events/pull/354, Description: chore: Upgrade Python requirements, Author: edx-requirements-bot

Total Contributions: 285
